Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
USA,https://open.spotify.com/track/7ifYhq7BzEppaiYFi28xlH,48,town on the hill,Chance the Rapper,album,chicago rap,5045736,FALSE,The Big Day,43672,20,22,0.68,0.255,10,-11.93,1,0.0372,0.763,0.0484,0.0837,0.616,144.823,179480,4,rap,477,1,141,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7v2azTfke2BR57lh2HxPQo,19.2,bring out your dead,$uicideBoy$,album,dark trap,2688028,TRUE,I Want To Die In New Orleans,43350,2,14,0.835,0.896,1,-7.953,1,0.266,0.0244,0,0.519,0.906,112.01,106041,4,rap,799,1,177,0,0,english speaking and nordic
USA,https://open.spotify.com/track/3CN9WtSBqCI6TXne9XNomb,40.8,gloria,The Lumineers,album,folk-pop,3983412,FALSE,III,43721,3,13,0.523,0.714,11,-6.021,1,0.0367,0.658,0.0000052,0.0785,0.659,78.211,216120,4,k-pop,428,1,150,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7oSq5fbsFkTS9zeJQwMihf,28.8,this bar,Morgan Wallen,single,contemporary country,951179,FALSE,This Bar,43830,1,1,0.545,0.884,2,-5.208,1,0.0817,0.115,0.000424,0.0496,0.272,110.015,185733,4,country,319,1,178,0,0,english speaking and nordic
USA,https://open.spotify.com/track/4J4yA7A68PmgSbjAn425eY,90.95,open,Kehlani,album,pop,4028947,TRUE,It Was Good Until It Wasn't,43959,14,15,0.491,0.464,5,-7.188,0,0.0872,0.145,0.00000157,0.107,0.183,124.352,245674,4,pop,190,1,94,0,0,english speaking and nordic
USA,https://open.spotify.com/track/1m5ThpiPCchWtaBIAnNfz8,6.4,call me late,YoungBoy Never Broke Again,album,baton rouge rap,5749977,TRUE,"Still Flexin, Still Steppin",43882,11,14,0.736,0.594,10,-6.459,0,0.38,0.336,0,0.061,0.905,163.948,213626,4,rap,267,1,193,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5BVVgL1FJ0wAEyNH0Mc8yX,208.35,trust nobody,Lil Wayne - Adam Levine,album,hip hop,9717614,TRUE,Funeral,43861,10,24,0.776,0.566,2,-5.301,0,0.0617,0.18,0,0.115,0.389,84.988,168333,4,hip hop,288,1,85,0,0,english speaking and nordic
USA,https://open.spotify.com/track/4LvRT9c5IKxC8GHVPAAaHb,341.4,lets go on the run,Chance the Rapper - Knox Fortune,album,chicago rap,5045736,FALSE,The Big Day,43672,10,22,0.78,0.708,9,-5.111,1,0.405,0.134,0,0.046,0.66,164.979,221272,4,rap,477,1,57,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2oPCR02nduYVpj7CTfsA0d,142.4,blue tacoma,Russell Dickerson,album,contemporary country,273892,FALSE,Yours,43021,3,12,0.455,0.897,9,-4.879,1,0.0403,0.0183,0,0.174,0.728,160.139,212067,4,country,1128,1,161,0,0,english speaking and nordic
USA,https://open.spotify.com/track/1HKl3RJInVzf5ObVnM644j,24.8,queen of broken hearts,blackbear,album,pop,3657373,TRUE,everything means nothing,44064,3,12,0.717,0.712,0,-6.098,1,0.0765,0.00663,0,0.0756,0.825,97.019,171172,4,pop,85,1,170,0,0,english speaking and nordic
USA,https://open.spotify.com/track/3S4wKj113KHgqtZt52Dcd1,121.6,money problems / benz truck,Bryson Tiller,album,kentucky hip hop,4447390,TRUE,True to Self,42881,14,19,0.647,0.63,2,-5.993,1,0.379,0.0434,0.00000317,0.0909,0.332,160.013,299813,4,hip hop,1265,1,109,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2JRo1DJhNhZWs1TzrPNOSZ,56,so what? - episode 01,Vince Staples,single,conscious hip hop,1209759,TRUE,So What? (Episode 01),43699,1,1,0.854,0.844,2,-5.908,1,0.0519,0.00651,0.00000508,0.186,0.832,146.041,125149,4,hip hop,450,1,131,0,0,english speaking and nordic
USA,https://open.spotify.com/track/6SL8U8TtdwOtGhbmGzsMfX,102.9,im not mad,Halsey,album,dance pop,12622150,FALSE,Manic,43847,2,27,0.78,0.684,0,-5.758,1,0.0636,0.17,0,0.105,0.732,149.916,173467,4,pop,302,1,95,0,0,english speaking and nordic
USA,https://open.spotify.com/track/0PWnTLrryhbYaRSGF6CsHf,30.4,ion,Lil Pump - Smokepurpp,album,emo rap,7325898,TRUE,Harverd Dropout,43518,4,16,0.899,0.593,1,-7.143,1,0.294,0.00837,0,0.213,0.904,155.881,141538,4,rap,631,1,163,0,0,english speaking and nordic
USA,https://open.spotify.com/track/4sf2L157iEgAR7yrCNLgSq,0.8,breaking up was easy in the 90s,Sam Hunt,album,contemporary country,1970425,FALSE,SOUTHSIDE,43924,11,12,0.562,0.649,9,-5.4,1,0.0494,0.231,0,0.341,0.376,145.913,215933,4,country,225,1,200,0,0,english speaking and nordic
