end,start,tweet_count,name,artist_id
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,1217,Brent Faiyaz,5tlXnStJ1fFhdScmQeLpuG
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,204,Brent Faiyaz,6tlXnStJ1fFhdScmQeLpuG
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,172,Brent Faiyaz,7tlXnStJ1fFhdScmQeLpuG
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,141,Brent Faiyaz,8tlXnStJ1fFhdScmQeLpuG
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,4459,Brent Faiyaz,9tlXnStJ1fFhdScmQeLpuG
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,1883,Brent Faiyaz,10tlXnStJ1fFhdScmQeLpuG
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,2983,Brent Faiyaz,11tlXnStJ1fFhdScmQeLpuG
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,2147,Brent Faiyaz,12tlXnStJ1fFhdScmQeLpuG
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,609,Brent Faiyaz,13tlXnStJ1fFhdScmQeLpuG
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,2516,Brent Faiyaz,14tlXnStJ1fFhdScmQeLpuG
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,1633,Brent Faiyaz,15tlXnStJ1fFhdScmQeLpuG
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,566,Brent Faiyaz,16tlXnStJ1fFhdScmQeLpuG
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,13829,Brent Faiyaz,17tlXnStJ1fFhdScmQeLpuG
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,3892,Brent Faiyaz,18tlXnStJ1fFhdScmQeLpuG
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,826,Brent Faiyaz,19tlXnStJ1fFhdScmQeLpuG
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,300,Brent Faiyaz,20tlXnStJ1fFhdScmQeLpuG
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,712,Brent Faiyaz,21tlXnStJ1fFhdScmQeLpuG
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,369,Brent Faiyaz,22tlXnStJ1fFhdScmQeLpuG
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,4413,Brent Faiyaz,23tlXnStJ1fFhdScmQeLpuG
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,2501,Brent Faiyaz,24tlXnStJ1fFhdScmQeLpuG
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,949,Brent Faiyaz,25tlXnStJ1fFhdScmQeLpuG
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,1614,Brent Faiyaz,26tlXnStJ1fFhdScmQeLpuG
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,2995,Brent Faiyaz,27tlXnStJ1fFhdScmQeLpuG
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,1781,Brent Faiyaz,28tlXnStJ1fFhdScmQeLpuG
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,3928,Brent Faiyaz,29tlXnStJ1fFhdScmQeLpuG
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,2245,Brent Faiyaz,30tlXnStJ1fFhdScmQeLpuG
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,10662,Brent Faiyaz,31tlXnStJ1fFhdScmQeLpuG
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,4341,Brent Faiyaz,32tlXnStJ1fFhdScmQeLpuG
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,2755,Brent Faiyaz,33tlXnStJ1fFhdScmQeLpuG
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,69,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,91,Bryson Tiller,3EMAnMvWE2eb56ToJVfCWs
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,111,Bryson Tiller,4EMAnMvWE2eb56ToJVfCWs
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,34,Bryson Tiller,5EMAnMvWE2eb56ToJVfCWs
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,48,Bryson Tiller,6EMAnMvWE2eb56ToJVfCWs
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,38,Bryson Tiller,7EMAnMvWE2eb56ToJVfCWs
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,54,Bryson Tiller,8EMAnMvWE2eb56ToJVfCWs
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,1264,Bryson Tiller,9EMAnMvWE2eb56ToJVfCWs
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,1541,Bryson Tiller,10EMAnMvWE2eb56ToJVfCWs
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,618,Bryson Tiller,11EMAnMvWE2eb56ToJVfCWs
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,403,Bryson Tiller,12EMAnMvWE2eb56ToJVfCWs
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,239,Bryson Tiller,13EMAnMvWE2eb56ToJVfCWs
